Year,Season,IndiaAreaWeighted_tmin_C,ValidDays
2011,PreMonsoon,69.80115706863874,92
2011,Monsoon,71.0073535047483,122
2011,PostMonsoon,67.96841495285635,92
2012,Winter,66.34177945034983,60
2012,PreMonsoon,69.80438635577634,92
2012,Monsoon,71.10000591285443,122
2012,PostMonsoon,67.73559205665393,92
2013,Winter,66.49442213696383,59
2013,PreMonsoon,69.89801620672078,92
2013,Monsoon,70.97296186132465,122
2013,PostMonsoon,68.18042704069907,92
2014,Winter,66.53790460064504,59
2014,PreMonsoon,69.64937228430091,92
2014,Monsoon,71.0772402544794,122
2014,PostMonsoon,67.91155977471105,92
2015,Winter,66.67268499081491,59
2015,PreMonsoon,69.85280684664367,92
2015,Monsoon,71.05648448882341,122
2015,PostMonsoon,68.22432219067801,92
2016,Winter,66.93459608747212,60
2016,PreMonsoon,70.21000261372993,92
2016,Monsoon,71.07458360491022,122
2016,PostMonsoon,67.91209500411304,92
2017,Winter,66.69040892997715,59
2017,PreMonsoon,69.98675059672264,92
2017,Monsoon,71.05583422467402,122
2017,PostMonsoon,68.06670656320084,92
2018,Winter,66.53385666740749,59
2018,PreMonsoon,69.99698543137718,92
2018,Monsoon,71.03050390917923,122
2018,PostMonsoon,67.88062169044109,92
2019,Winter,66.40144253406196,59
2019,PreMonsoon,69.86860244958095,92
2019,Monsoon,71.17800211707954,122
2019,PostMonsoon,68.28374250004909,92
2020,Winter,66.61904664705531,60
2020,PreMonsoon,69.76545990433802,92
2020,Monsoon,71.10089129750085,122
2020,PostMonsoon,68.00966642505381,92
2021,Winter,66.87707318431374,59
2021,PreMonsoon,69.83480930298528,92
2021,Monsoon,71.07332191811962,122
2021,PostMonsoon,68.15660772654614,92
2022,Winter,66.59876089351488,59
2022,PreMonsoon,70.21176679680052,92
2022,Monsoon,71.0631590399935,122
2022,PostMonsoon,67.9958907921414,92
2023,Winter,66.64969790181462,59
2023,PreMonsoon,69.61081745629588,92
2023,Monsoon,71.16235490662437,122
2023,PostMonsoon,68.31976437890349,92
2024,Winter,66.8903611740672,60
2024,PreMonsoon,70.11555542132326,92
2024,Monsoon,71.25220208364067,122
2024,PostMonsoon,68.37335495567076,92
