Date,IndiaAreaWeighted_tmin_C,Year,Month
1960-05-23,73.3951885634217,1960,5
1960-05-24,73.31425070230893,1960,5
1960-05-25,73.23214664488825,1960,5
1960-05-26,73.06193502256797,1960,5
1960-05-27,73.18841293549968,1960,5
1960-05-28,73.17797316992124,1960,5
1960-05-29,73.01006498633217,1960,5
1960-05-30,72.8359888767246,1960,5
1960-05-31,73.03921170867349,1960,5
1960-06-01,73.27394551071484,1960,6
1960-06-02,73.26860069166887,1960,6
1960-06-03,73.36425039461652,1960,6
1960-06-04,73.34400953585019,1960,6
1960-06-05,73.18464270580093,1960,6
1960-06-06,73.23003795026499,1960,6
1960-06-07,73.42282740855678,1960,6
1960-06-08,73.35423942734568,1960,6
1960-06-09,73.70610093068464,1960,6
1960-06-10,73.73272699188304,1960,6
1960-06-11,73.58147621308632,1960,6
1960-06-12,73.49411579726718,1960,6
1960-06-13,73.57625578849047,1960,6
1960-06-14,73.34430744822046,1960,6
1960-06-15,72.90044142074032,1960,6
1960-06-16,72.56955775037055,1960,6
1960-06-17,72.58061388447011,1960,6
1960-06-18,72.71747568690418,1960,6
1960-06-19,72.97281978141794,1960,6
1960-06-20,73.00568476682011,1960,6
1960-06-21,73.08687331906981,1960,6
1960-06-22,72.85785911484096,1960,6
1960-06-23,72.78797477524505,1960,6
1960-06-24,73.01398531929253,1960,6
1960-06-25,72.99457914403305,1960,6
1960-06-26,72.9673439379675,1960,6
1960-06-27,72.72761438969957,1960,6
1960-06-28,72.7209776381541,1960,6
1960-06-29,72.83706380224304,1960,6
1960-06-30,72.96817870807881,1960,6
1960-07-01,73.00396955699804,1960,7
1960-07-02,73.04534988669272,1960,7
1960-07-03,73.00259148775851,1960,7
1960-07-04,72.7823962349528,1960,7
1960-07-05,72.82618256449706,1960,7
1960-07-06,72.78016350312654,1960,7
1960-07-07,72.70172735545805,1960,7
1960-07-08,72.49847028955014,1960,7
1960-07-09,72.5138615462884,1960,7
1960-07-10,72.52680052354737,1960,7
1960-07-11,72.57066263733537,1960,7
1960-07-12,72.57629990895673,1960,7
1960-07-13,72.61428467943871,1960,7
1960-07-14,72.66721747674504,1960,7
1960-07-15,72.66791627587743,1960,7
1960-07-16,72.74003383425134,1960,7
1960-07-17,72.76815361134535,1960,7
1960-07-18,72.74518785373006,1960,7
1960-07-19,72.6405494799341,1960,7
1960-07-20,72.72772719820789,1960,7
1960-07-21,72.84438897972245,1960,7
1960-07-22,72.96985050337007,1960,7
1960-07-23,72.9380750681052,1960,7
1960-07-24,72.94031761440276,1960,7
1960-07-25,72.84989154404181,1960,7
1960-07-26,72.66025943716029,1960,7
1960-07-27,72.75700232483972,1960,7
1960-07-28,72.77014571139448,1960,7
1960-07-29,72.94469422275377,1960,7
1960-07-30,72.91325358771748,1960,7
1960-07-31,72.86057293795952,1960,7
1960-08-01,72.73577913422386,1960,8
1960-08-02,72.71540751093991,1960,8
1960-08-03,72.79371640244085,1960,8
1960-08-04,72.8248008598012,1960,8
1960-08-05,72.71114401784925,1960,8
1960-08-06,72.70698813390545,1960,8
1960-08-07,72.72847022692524,1960,8
1960-08-08,72.71284391032198,1960,8
1960-08-09,72.65784304838606,1960,8
1960-08-10,72.56628218503178,1960,8
1960-08-11,72.69257644182034,1960,8
1960-08-12,72.67329991297126,1960,8
1960-08-13,72.67807848149532,1960,8
1960-08-14,72.70843633679866,1960,8
1960-08-15,72.68405943363683,1960,8
1960-08-16,72.6161798391607,1960,8
1960-08-17,72.6141982346057,1960,8
1960-08-18,72.61364481374494,1960,8
1960-08-19,72.70777940383415,1960,8
1960-08-20,72.76335243170983,1960,8
1960-08-21,72.62947001617016,1960,8
1960-08-22,72.6102079935263,1960,8
1960-08-23,72.55092028174418,1960,8
1960-08-24,72.50491181333481,1960,8
1960-08-25,72.54580356979523,1960,8
1960-08-26,72.48725790318584,1960,8
1960-08-27,72.51386020175246,1960,8
1960-08-28,72.53164034890798,1960,8
1960-08-29,72.52274956350814,1960,8
1960-08-30,72.48174549918025,1960,8
1960-08-31,72.46160029541029,1960,8
1960-09-01,72.46870285876783,1960,9
1960-09-02,72.44545552250322,1960,9
1960-09-03,72.45245783354585,1960,9
1960-09-04,72.42615518736203,1960,9
1960-09-05,72.3731358635383,1960,9
1960-09-06,72.45996707713341,1960,9
1960-09-07,72.52320507671868,1960,9
