Date,IndiaAreaWeighted_tmax_C,Year,Month
1959-05-20,77.1198551436351,1959,5
1959-05-21,77.26357737426093,1959,5
1959-05-22,77.38061442575503,1959,5
1959-05-23,77.72222277126016,1959,5
1959-05-24,77.65037718906338,1959,5
1959-05-25,77.29490000893665,1959,5
1959-05-26,77.17496660008284,1959,5
1959-05-27,77.16707634371868,1959,5
1959-05-28,76.53057117050706,1959,5
1959-05-29,76.01080976684874,1959,5
1959-05-30,75.9360607192099,1959,5
1959-05-31,76.01278706889522,1959,5
1959-06-01,76.02046274456696,1959,6
1959-06-02,76.21494814494748,1959,6
1959-06-03,76.33581056645383,1959,6
1959-06-04,76.5284425453116,1959,6
1959-06-05,76.86539631876744,1959,6
1959-06-06,76.60224490590605,1959,6
1959-06-07,76.48559916455618,1959,6
1959-06-08,76.5305192925063,1959,6
1959-06-09,76.70411649271176,1959,6
1959-06-10,76.50718156173339,1959,6
1959-06-11,76.45969127122252,1959,6
1959-06-12,76.27467245583831,1959,6
1959-06-13,76.43478809426266,1959,6
1959-06-14,76.4701561340145,1959,6
1959-06-15,76.48709948215578,1959,6
1959-06-16,76.59453201857009,1959,6
1959-06-17,76.77552750436097,1959,6
1959-06-18,76.75841680896194,1959,6
1959-06-19,77.01337786477126,1959,6
1959-06-20,76.80930548899106,1959,6
1959-06-21,76.89205449188657,1959,6
1959-06-22,76.90188422998902,1959,6
1959-06-23,76.58455785104826,1959,6
1959-06-24,76.570854814309,1959,6
1959-06-25,76.36230686245345,1959,6
1959-06-26,76.48553893811254,1959,6
1959-06-27,76.03513627441245,1959,6
1959-06-28,75.904291958057,1959,6
1959-06-29,75.69021066955335,1959,6
1959-06-30,75.44995759177677,1959,6
1959-07-01,75.45086114830528,1959,7
1959-07-02,75.3596850922029,1959,7
1959-07-03,75.56176982077325,1959,7
1959-07-04,75.47363241786952,1959,7
1959-07-05,74.83443789153625,1959,7
1959-07-06,74.91584942475238,1959,7
1959-07-07,75.03405214155089,1959,7
1959-07-08,75.16431210132728,1959,7
1959-07-09,75.17894853884695,1959,7
1959-07-10,75.18832665444985,1959,7
1959-07-11,75.12151028876335,1959,7
1959-07-12,75.04997010949982,1959,7
1959-07-13,74.93227206465619,1959,7
1959-07-14,75.01639264242256,1959,7
1959-07-15,75.28459861840027,1959,7
1959-07-16,75.53260060927268,1959,7
1959-07-17,75.53657841190665,1959,7
1959-07-18,75.08775555097476,1959,7
1959-07-19,74.76451472695929,1959,7
1959-07-20,74.8358296860382,1959,7
1959-07-21,74.84247066877083,1959,7
1959-07-22,74.76634085367776,1959,7
1959-07-23,74.63077708219409,1959,7
1959-07-24,74.76426789115817,1959,7
1959-07-25,74.77698270411837,1959,7
1959-07-26,74.6089236564107,1959,7
1959-07-27,74.31014546390313,1959,7
1959-07-28,74.37036968776538,1959,7
1959-07-29,74.41131759438376,1959,7
1959-07-30,74.65953418173808,1959,7
1959-07-31,74.79516783285848,1959,7
1959-08-01,74.74538951170074,1959,8
1959-08-02,74.63047250238131,1959,8
1959-08-03,74.66421488937551,1959,8
1959-08-04,74.66212856536777,1959,8
1959-08-05,74.59039087241096,1959,8
1959-08-06,74.71906361849544,1959,8
1959-08-07,74.78209975403476,1959,8
1959-08-08,74.94093874491324,1959,8
1959-08-09,74.84825041438296,1959,8
1959-08-10,74.77611900550586,1959,8
1959-08-11,74.95954676274873,1959,8
1959-08-12,74.99077750627184,1959,8
1959-08-13,74.79062005535111,1959,8
1959-08-14,74.77092376653734,1959,8
1959-08-15,74.46258230035842,1959,8
1959-08-16,74.74292485323589,1959,8
1959-08-17,74.8333427646587,1959,8
1959-08-18,74.79604357844859,1959,8
1959-08-19,74.47616421614993,1959,8
1959-08-20,74.65744334460025,1959,8
1959-08-21,74.86928923245415,1959,8
1959-08-22,74.83166696684755,1959,8
1959-08-23,74.72675312669831,1959,8
1959-08-24,74.99917998397918,1959,8
1959-08-25,75.12695055585979,1959,8
1959-08-26,74.87823409385106,1959,8
1959-08-27,74.63983940868658,1959,8
1959-08-28,74.81233028237185,1959,8
1959-08-29,75.13472250968384,1959,8
1959-08-30,75.01040216954532,1959,8
1959-08-31,74.9725864024392,1959,8
1959-09-01,75.14440853336123,1959,9
1959-09-02,75.04600385137054,1959,9
1959-09-03,74.99490713192999,1959,9
1959-09-04,74.7819138966999,1959,9
1959-09-05,74.89987957276293,1959,9
1959-09-06,74.72437364839638,1959,9
1959-09-07,74.55445687398199,1959,9
1959-09-08,74.4855842184889,1959,9
1959-09-09,74.34273583313065,1959,9
1959-09-10,74.19146176963797,1959,9
1959-09-11,74.34693432167032,1959,9
1959-09-12,74.64213483614273,1959,9
1959-09-13,74.82486516112778,1959,9
1959-09-14,74.67298413118144,1959,9
1959-09-15,74.60406095934938,1959,9
1959-09-16,74.67939621752126,1959,9
1959-09-17,74.87459525467237,1959,9
1959-09-18,75.11657591280212,1959,9
1959-09-19,75.14269525507278,1959,9
1959-09-20,74.92501626858152,1959,9
1959-09-21,74.94787393998622,1959,9
1959-09-22,75.109446074588,1959,9
1959-09-23,75.25679198450354,1959,9
1959-09-24,75.50942097919643,1959,9
1959-09-25,75.47360522913513,1959,9
1959-09-26,75.56478735027136,1959,9
1959-09-27,75.42677974626554,1959,9
1959-09-28,75.00883481424314,1959,9
1959-09-29,75.17037110676961,1959,9
1959-09-30,75.0066351996525,1959,9
1959-10-01,75.07943375959854,1959,10
1959-10-02,74.78155780133592,1959,10
1959-10-03,74.42017700576201,1959,10
1959-10-04,74.47957074218026,1959,10
1959-10-05,74.45725772875022,1959,10
1959-10-06,74.37537182794112,1959,10
1959-10-07,74.41185122381857,1959,10
1959-10-08,74.54429988494354,1959,10
1959-10-09,74.82058672066428,1959,10
1959-10-10,74.92965965444327,1959,10
1959-10-11,74.76945520799444,1959,10
1959-10-12,74.81608175080812,1959,10
1959-10-13,75.03412624284724,1959,10
1959-10-14,75.08071120477763,1959,10
1959-10-15,75.11581432337047,1959,10
1959-10-16,75.11576969539045,1959,10
1959-10-17,75.15329872258978,1959,10
1959-10-18,75.21078996659787,1959,10
1959-10-19,75.21932966720122,1959,10
1959-10-20,74.96986131060302,1959,10
1959-10-21,75.19005958546431,1959,10
1959-10-22,75.21772123070393,1959,10
1959-10-23,75.01660960586949,1959,10
1959-10-24,75.0095003793427,1959,10
1959-10-25,75.10797167700217,1959,10
1959-10-26,74.92822126079135,1959,10
1959-10-27,74.75389848294711,1959,10
1959-10-28,74.28250149113359,1959,10
1959-10-29,74.20650611810147,1959,10
1959-10-30,74.13060266120053,1959,10
1959-10-31,74.2615596232282,1959,10
1959-11-01,74.56612328307368,1959,11
1959-11-02,74.62739020587422,1959,11
1959-11-03,74.55231332736716,1959,11
1959-11-04,74.3545188516814,1959,11
1959-11-05,74.56844304263814,1959,11
1959-11-06,74.3867941653166,1959,11
1959-11-07,74.03093478195981,1959,11
1959-11-08,74.07244139995016,1959,11
1959-11-09,74.19391255188174,1959,11
1959-11-10,74.15060379168634,1959,11
1959-11-11,74.20854057059934,1959,11
1959-11-12,74.08146007616737,1959,11
1959-11-13,74.03015088412646,1959,11
1959-11-14,74.07142422176655,1959,11
1959-11-15,73.97669423053108,1959,11
1959-11-16,74.05341341716733,1959,11
1959-11-17,74.07404462887776,1959,11
1959-11-18,74.14094225828411,1959,11
